City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,Roma,US,2021-04-01 18:23:55,43.2128,-75.4557,39.2,65,90,10.36
266,Lewiston,US,2021-04-01 18:25:10,44.1003,-70.2148,45.0,75,90,14.97
267,Swarzedz,PL,2021-04-01 18:25:11,52.4129,17.085,55.99,67,0,8.05
268,Candido Mendes,BR,2021-04-01 18:25:11,-1.4467,-45.7167,81.09,85,65,5.44
269,Alyangula,AU,2021-04-01 18:21:56,-13.8483,136.4192,79.72,73,100,9.24
270,Broken Hill,AU,2021-04-01 18:24:19,-31.95,141.4333,60.8,51,0,4.61
271,Evensk,RU,2021-04-01 18:25:13,61.95,159.2333,17.76,83,100,14.92
272,Tarko-Sale,RU,2021-04-01 18:21:11,64.9225,77.785,26.55,96,100,12.62
273,Kerrobert,CA,2021-04-01 18:25:14,51.9168,-109.1348,50.0,43,90,14.97
274,Longyearbyen,SJ,2021-04-01 18:20:30,78.2186,15.6401,30.2,69,75,14.97
275,Chiredzi,ZW,2021-04-01 18:25:14,-21.05,31.6667,70.99,46,16,6.69
276,Mana,GF,2021-04-01 18:25:15,5.6592,-53.7767,80.6,75,82,10.98
277,Brae,GB,2021-04-01 18:25:16,60.3964,-1.353,44.6,70,75,12.66
278,Yanam,IN,2021-04-01 18:25:16,16.7333,82.2167,77.16,96,70,3.49
279,Mitsamiouli,KM,2021-04-01 18:25:17,-11.3847,43.2844,82.87,74,27,8.19
280,Kamina,CD,2021-04-01 18:25:17,-8.7386,24.9906,66.51,94,50,3.53
281,Bonavista,CA,2021-04-01 18:25:18,48.6499,-53.1147,48.2,53,33,5.75
282,Batemans Bay,AU,2021-04-01 18:25:18,-35.7167,150.1833,57.99,95,82,1.99
283,Karasburg,NA,2021-04-01 18:25:19,-28.0167,18.75,80.92,27,1,16.4
284,Yucca Valley,US,2021-04-01 18:25:19,34.1142,-116.4322,71.01,14,4,4.0
285,Sunndalsora,NO,2021-04-01 18:25:20,62.6754,8.5515,39.2,87,75,23.02
286,Bokoro,TD,2021-04-01 18:25:20,12.3807,17.0568,86.9,10,66,9.95
287,Cervo,ES,2021-04-01 18:22:41,43.6702,-7.4101,60.01,84,97,3.27
288,Nioro,GM,2021-04-01 18:25:21,13.35,-15.75,107.29,6,0,6.89
289,Bambous Virieux,MU,2021-04-01 18:25:21,-20.3428,57.7575,80.6,83,40,5.75
290,Santo Tomas,PH,2021-04-01 18:25:22,14.1079,121.1414,80.6,69,20,4.61
291,Banepa,NP,2021-04-01 18:25:22,27.6298,85.5214,55.4,71,20,3.44
292,Fort Myers Beach,US,2021-04-01 18:24:03,26.452,-81.9481,82.0,65,75,17.27
