City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
589,Bilma,NE,82.85,clear sky,18.6853,12.9164,Expeditions Ténére voyages
592,Touros,BR,77.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
595,Trairi,BR,83.86,overcast clouds,-3.2778,-39.2689,janelas do mar
600,Rio Tercero,AR,77.0,overcast clouds,-32.173,-64.1141,"Hotel Vélez Sarsfield ""Low Cost"""
601,Pyinmana,MM,70.86,overcast clouds,19.7333,96.2167,"Win (Computer, Copier, Digital Stamp, Invitation Card, Trophy) Shop"
604,Porto Belo,BR,78.8,few clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
605,Bubaque,GW,75.42,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
610,Manggar,ID,80.19,overcast clouds,-2.8833,108.2667,Guest Hotel
611,Kavaratti,IN,82.65,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
612,Belawan,ID,78.8,broken clouds,3.7755,98.6832,Lilik Hidayat Pulungan
616,Belle Fourche,US,73.0,clear sky,44.6714,-103.8522,Kings Inn
618,Pyu,MM,71.6,overcast clouds,18.4833,96.4333,Mr Bo Bo
619,Dubai,AE,78.8,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
621,Yaring,TH,79.29,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
622,Silvassa,IN,77.83,clear sky,20.2667,73.0167,Wonderland Resort
626,Bardiyah,LY,73.81,clear sky,31.7561,25.0865,بورتو بردية
632,Santa Helena,BR,81.79,overcast clouds,-2.2311,-45.3,Turi Plaza Hotel
639,Kawalu,ID,73.27,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
641,Santa Marta,CO,83.03,broken clouds,11.2408,-74.199,Casa de Isabella
650,Carlsbad,US,71.01,clear sky,33.1581,-117.3506,Carlsbad Inn Beach Resort
657,Iberia,US,73.0,clear sky,29.9502,-91.7507,back to back rv park
658,Tucuma,BR,83.05,broken clouds,-0.1833,-50.05,
664,Bongandanga,CD,74.28,light rain,1.5,21.05,
666,Coahuayana,MX,82.4,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
667,Vaitape,PF,81.37,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
668,Aripuana,BR,79.84,overcast clouds,-9.1667,-60.6333,
670,Kindu,CD,71.91,broken clouds,-2.95,25.95,Résidence Okanda
672,Tabuk,PH,71.82,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
673,Grand-Santi,GF,80.42,light rain,4.25,-54.3833,Hotel La Villa Couacou
678,Port Hedland,AU,73.4,clear sky,-20.3167,118.5667,The Esplanade Hotel
679,Banda Aceh,ID,79.99,overcast clouds,5.5577,95.3222,Sulthan Hotel International
686,Atambua,ID,73.78,moderate rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
687,Rio Grande,BR,80.6,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
688,Poya,NC,73.31,overcast clouds,-21.35,165.15,
690,Mahibadhoo,MV,84.47,clear sky,3.7833,72.9667,Omadhoo Inn
692,Bintulu,MY,75.2,scattered clouds,3.1667,113.0333,900 Boutique INN
694,Kirakira,SB,79.21,overcast clouds,-10.4544,161.9205,SanBiz Lodge
697,Hurricane,US,75.0,clear sky,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
699,Bonthe,SL,83.68,broken clouds,7.5264,-12.505,Bonthe Holiday Village
700,Caxito,AO,80.6,scattered clouds,-8.5785,13.6643,
704,Multan,PK,82.4,haze,30.1956,71.4753,Synergy Rooms
708,Cozumel,MX,80.6,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
710,Banting,MY,82.4,few clouds,2.8167,101.5,Hotel Intan Jugra
