City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Oksfjord,NO,70.2396,22.3479,32.0,74,0,2.3,clear sky
325,San Cristobal,VE,7.7669,-72.225,80.6,89,40,9.22,scattered clouds
326,Alamosa,US,37.4695,-105.87,60.8,21,1,3.44,clear sky
327,Gouyave,GD,12.1646,-61.7296,84.2,70,20,20.71,few clouds
328,Ayame,CI,5.6083,-3.1563,80.2,81,70,6.44,light rain
329,Milkovo,RU,54.7167,158.6167,19.24,84,85,5.68,overcast clouds
330,Beira,MZ,-19.8436,34.8389,77.0,83,20,8.14,few clouds
331,Cao Bang,VN,22.6667,106.25,67.77,93,100,1.95,light rain
332,Sairang,IN,23.8,92.6667,69.91,28,68,3.71,broken clouds
333,Sorland,NO,67.667,12.6934,33.8,64,75,12.66,snow
334,Umm Kaddadah,SD,13.6017,26.6876,79.92,11,36,13.33,scattered clouds
335,Ambatofinandrahana,MG,-20.55,46.8,61.36,91,21,1.83,few clouds
336,Airai,TL,-8.9266,125.4092,60.49,93,100,4.92,overcast clouds
337,Xichang,CN,27.8964,102.2634,60.6,28,90,0.96,overcast clouds
338,Avera,US,33.194,-82.5271,71.01,23,1,11.5,clear sky
339,Sisimiut,GL,66.9395,-53.6735,25.39,66,100,11.27,snow
340,Asyut,EG,27.181,31.1837,73.0,13,0,10.22,clear sky
341,Omboue,GA,-1.5746,9.2618,78.46,86,74,8.03,light rain
342,Eureka,US,40.8021,-124.1637,52.0,76,98,4.92,overcast clouds
343,Tura,IN,25.5198,90.2201,71.65,29,78,2.82,broken clouds
344,Waingapu,ID,-9.6567,120.2641,78.04,83,100,8.99,moderate rain
345,Cockburn Town,TC,21.4612,-71.1419,77.0,61,75,17.27,broken clouds
346,Tolaga Bay,NZ,-38.3667,178.3,54.99,64,1,6.13,clear sky
